epoch,ETTh2 - train_mae,ETTh1 - train_mae,ETTm2 - train_mae,ETTm1 - train_mae
0,0.557184279,0.220180959,0.15936774,0.145732135
1,0.355224043,0.096909329,0.045528702,0.050086021
2,0.242308632,0.075383879,0.033282991,0.036538173
3,0.193108976,0.063210428,0.027239904,0.029756127
4,0.165400356,0.054881651,0.021902114,0.024674363
5,0.145610854,0.048776504,0.019392796,0.019890718
6,0.130673692,0.04404122,0.014605999,0.015168574
7,0.118582204,0.040197857,0.012306235,0.010468387
8,0.109380707,0.036678664,0.021050317,0.007468795
9,0.10143476,0.033519872,0.022664785,0.005777799
10,0.094597518,0.030756747,0.012731384,0.004953321
11,0.088680908,0.028744366,0.010794709,0.003981199
12,0.08386822,0.026545672,0.010073978,0.003758716
13,0.079166472,0.024639266,0.009218709,0.003490976
14,0.075115614,0.023184711,0.026863361,0.003007746
15,0.071455449,0.021680212,0.014012894,0.002963043
16,0.068318136,0.020506551,0.010633479,0.002679731
17,0.065000229,0.019468846,0.009382838,0.00259962
18,0.062259044,0.018420622,0.008334657,0.002531771
19,0.059530396,0.017467812,0.020752134,0.002350183
20,0.057232931,0.016586378,0.010084762,0.002332162
21,0.054906778,0.015735742,0.008322043,0.00240904
22,0.052593552,0.015071636,0.00762426,0.002183854
23,0.050623927,0.014247067,0.007150048,0.002171348
24,0.04857903,0.013409552,0.006591068,0.002132007
25,0.046423417,0.012758994,0.006014772,0.002183977
26,0.04444677,0.011890206,0.026440153,0.001814447
27,0.042605173,0.011502042,0.009950744,0.002121316
28,0.040817093,0.010818387,0.008037575,0.002024808
29,0.039000425,0.010286345,0.007157553,0.001676712
30,0.037454922,0.009844985,0.006383568,0.001898645
31,0.036157727,0.00930824,0.011720102,0.001854152
32,0.034711074,0.008864277,0.007335757,0.00191997
33,0.033398524,0.008580629,0.006032109,0.001755693
34,0.032085344,0.008080954,0.005742704,0.001768
35,0.030984607,0.007811994,0.005542911,0.001690896
36,0.03001867,0.00724228,0.016921718,0.001767694
37,0.028950667,0.007072293,0.008350115,0.001744307
38,0.0280209,0.006661795,0.00654716,0.001613434
39,0.027191807,0.006324894,0.005928434,0.00171143
40,0.026428504,0.006026467,0.005562765,0.001822471
41,0.025407223,0.005726102,0.005438452,0.001532331
42,0.024786456,0.00545521,0.005507023,0.001664168
43,0.023974232,0.005273006,0.005435788,0.001712467
44,0.023479726,0.004949107,0.00484426,0.001733922
45,0.022753235,0.004724125,0.012904648,0.001416639
46,0.022118079,0.004543232,0.005917886,0.001535431
47,0.02151305,0.004471185,0.005087835,0.001563374
48,0.021006744,0.004119867,0.005081135,0.001558783
49,0.020437622,0.004139441,0.004917033,0.001780297
