epoch,ETTh2 - train_mse,ETTh1 - train_mse,ETTm2 - train_mse,ETTm1 - train_mse
0,0.423021168,0.100069448,0.085983083,0.056272946
1,0.199690685,0.016039321,0.003573623,0.004394416
2,0.102353118,0.009603157,0.00190728,0.002326922
3,0.068045571,0.006707035,0.001274372,0.00155599
4,0.050494887,0.00503591,0.000827351,0.001079849
5,0.038781635,0.003967834,0.000687712,0.000720483
6,0.030989988,0.003246777,0.000366908,0.00043597
7,0.025215931,0.002695021,0.000262197,0.000216858
8,0.021261055,0.002254502,0.004598844,0.000116064
9,0.018191595,0.001882998,0.00104892,7.18253E-05
10,0.015708553,0.001585263,0.000292513,5.30049E-05
11,0.013718861,0.001386253,0.000209565,3.56575E-05
12,0.012234044,0.001183114,0.000184967,3.0973E-05
13,0.010823141,0.00102342,0.000159167,2.6585E-05
14,0.009721343,0.000910372,0.004167778,2.01893E-05
15,0.008738969,0.000799541,0.000366183,1.9004E-05
16,0.007974906,0.000718072,0.000212196,1.55939E-05
17,0.007197927,0.000645267,0.000165502,1.47544E-05
18,0.006589521,0.000578492,0.000132181,1.40135E-05
19,0.006017364,0.000523004,0.001784118,1.21239E-05
20,0.005562988,0.000472985,0.000198235,1.26758E-05
21,0.005104611,0.000426101,0.000135322,1.31892E-05
22,0.004692032,0.000392118,0.000114697,1.07728E-05
23,0.004357766,0.000352363,0.000102853,1.0392E-05
24,0.004000527,0.000313442,8.83979E-05,9.98447E-06
25,0.003663791,0.000285112,7.44509E-05,1.17796E-05
26,0.003366759,0.000250921,0.005130911,7.88823E-06
27,0.003117973,0.000236153,0.000201543,1.02313E-05
28,0.00286277,0.000209656,0.000131575,9.29372E-06
29,0.002608048,0.000192715,0.000107701,6.72388E-06
30,0.002424184,0.000177732,8.42804E-05,9.01358E-06
31,0.002268837,0.000161604,0.0007189,7.82411E-06
32,0.002086923,0.000147934,0.000120466,8.34487E-06
33,0.001945475,0.000139282,7.93637E-05,7.17627E-06
34,0.001791707,0.000126119,7.18797E-05,7.40172E-06
35,0.001677897,0.00011765,6.6826E-05,7.67642E-06
36,0.001581165,0.000102816,0.00129225,7.24439E-06
37,0.001464607,9.98084E-05,0.000147619,6.85795E-06
38,0.001368988,8.80675E-05,9.00894E-05,6.68925E-06
39,0.001301762,8.19183E-05,7.40928E-05,6.75391E-06
40,0.0012215,7.47208E-05,6.77065E-05,7.67536E-06
41,0.001126363,6.86529E-05,6.99344E-05,6.10518E-06
42,0.001074609,6.31722E-05,7.28811E-05,6.40552E-06
43,0.001005243,5.91149E-05,8.01568E-05,7.03319E-06
44,0.000968308,5.29926E-05,5.50449E-05,7.35078E-06
45,0.000905304,4.90717E-05,0.000709989,4.91542E-06
46,0.000852459,4.6403E-05,8.54961E-05,5.57158E-06
47,0.000809897,4.44451E-05,5.99899E-05,8.3481E-06
48,0.000770823,3.91209E-05,6.27078E-05,6.05154E-06
49,0.000727082,3.89026E-05,5.58288E-05,1.16308E-05
